inc.	liber incertus
Syn.	Synopsis
Cels.	contra Celsum
A.	Argonautica
H.	Hymni
L.	Lithica
Ep.	Epistulae
Her.	Heroicus
VA	Vita Apollonii
VS	Vitae Sophistarum
Mir.	Miracula
Macr.	Macrobii
Olymp.	Olympiades
O., P., N., I.	Olympian, Pythian, Nemean, Isthmian Odes;
Fr.	Fragmenta.
Amat.	Amatores
Ap.	Apologia
Ax.	Axiochus
Chrm.	Charmides
Clit.	Clitopho
Cra.	Cratylus
Cri.	Crito
Criti.	Critias
Def.	Definitiones
Demod.	Demodocus
Ep.	Epistulae
Epigr.	Epigrammata,
Epin.	Epinomis
Erx.	Eryxias
Euthd.	Euthydemus
Euthphr.	Euthyphro
Grg.	Gorgias
Hipparch.	Hipparchus
Hp.Ma., Mi.	Hippias Major, Minor
Just.	De Justo
La.	Laches
Lg.	Leges
Ly.	Lysis
Men.	Meno
Min.	Minos
Mx.	Menexenus
Phd.	Phaedo
Phdr.	Phaedrus
Phlb.	Philebus
Plt.	Politicus
Prm.	Parmenides
Prt.	Protagoras
R.	Respublica
Sis.	Sisyphus
Smp.	Symposium
Sph.	Sophista
Thg.	Theages
Tht.	Theaetetus
Ti.	Timaeus
Virt.	De Virtute
Aem.	Aemilius Paulus
Ages.	Agesilaus
Alc.	Alcibiades
Alex.	Alexander
Ant.	Antonius
Arat.	Aratus
Arist.	Aristides
Art.	Artoxerxes
Brut.	Brutus
CG	C. Gracchus
Caes.	Caesar
Cam.	Camillus
Cat. Ma., Mi.	Cato Major, Minor
Cic.	Cicero
Cim.	Cimon
Cleom.	Cleomenes
Comp.	Comparatio
Cor.	Coriolanus
Crass.	Crassus
Daed.	de Daedal's Plataeensibus
Dem.	Demosthenes
Demetr.	Demetrius
Eum.	Eumenes
Fab.	Fabius Maximus
Flam.	Flamininus
Fr.	Fragmenta
Galb.	Galba
in Hes.	Commentarii in Hesiodum
Lib.	de Libidine et Aegritudine
Luc.	Lucullus
Lyc.	Lycurgus
Lys.	Lysander
Mar.	Marius
Marc.	Marcellus
Metr.	de Metris
Nic.	Nicias
Nob.	pro Nobilitate
Num.	Numa
Oth.	Otho
Pel.	Pelopidas
Per.	Pericles
Phil.	Philopoemen
Phoc.	Phocion
Pomp.	Pompeius
Prov.	Proverbia
Publ.	Publicola
Pyrrh.	Pyrrhus
Rom.	Romulus
Sert.	Sertorius
Sol.	Solon
Sull.	Sulla
TG	Tiberius Gracchus
Them.	Themistocles
Thes.	Theseus
Tim.	Timoleon
Call.	Callimachus
Cyn.	Cynegirus
Fr.	Fragmenta
Aed.	de Aedificiis
Arc.	Historia Arcana
